sido_code,sido_name,sigungu_code,sigungu_name,land_category,region_type,n,area_p10,area_p50,area_p75,area_p90,p90_p50,n_ge_300,n_ge_500,n_ge_1000,n_ge_3000,n_ge_5000,n_dongs,dong_n_median,eligible,gate_reasons,n_tier,b_preview
26,부산광역시,26500,수영구,답,metro_gu,2,9.6,36.0,52.5,62.4,1.7333,0,0,0,0,0,2,1.0,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26500,수영구,대,metro_gu,153,10.6,137.6,238.0,357.72,2.5997,20,9,2,0,0,5,23.0,True,[],good,B_ok
26,부산광역시,26500,수영구,전,metro_gu,7,17.2,60.0,167.5,653.2,10.8867,1,1,1,0,0,2,3.5,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26530,사상구,답,metro_gu,28,16.0,229.5,493.25,548.0,2.3878,13,7,1,0,0,7,4.0,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26530,사상구,대,metro_gu,254,8.0,106.0,200.0,555.4,5.2396,45,28,11,1,0,8,22.5,True,[],good,B_ok
26,부산광역시,26530,사상구,전,metro_gu,33,3.2,104.0,150.0,683.6,6.5731,6,4,0,0,0,6,2.5,False,['no_gate_for_type_jimok'],exclude,B_skip
26,부산광역시,26710,기장군,답,gun,1149,61.0,461.0,913.0,1613.8,3.5007,764,537,263,21,2,5,252.0,True,[],better,B_ok
26,부산광역시,26710,기장군,대,gun,474,17.6,223.5,418.65,690.98,3.0916,189,95,20,4,1,5,119.0,True,[],better,B_ok
26,부산광역시,26710,기장군,전,gun,600,48.0,281.0,656.5,1139.2,4.0541,285,182,76,10,6,5,92.0,True,[],better,B_ok
27,대구광역시,27110,중구,대,metro_gu,417,3.0,26.4,93.0,188.8,7.1515,16,7,4,1,0,47,5.0,False,['metro_width'],better,B_skip
27,대구광역시,27140,동구,답,metro_gu,455,106.4,688.0,1284.5,1831.8,2.6625,338,279,158,5,0,38,11.0,False,['no_gate_for_type_jimok'],better,B_ok
27,대구광역시,27140,동구,대,metro_gu,555,14.8,145.1,254.55,372.4,2.5665,99,32,9,2,1,42,7.5,True,[],better,B_skip
27,대구광역시,27140,동구,전,metro_gu,372,66.0,545.5,1095.75,1778.5,3.2603,245,198,108,10,5,41,6.0,False,['no_gate_for_type_jimok'],better,B_skip
27,대구광역시,27170,서구,답,metro_gu,19,27.4,81.0,340.5,825.4,10.1901,6,4,2,0,0,3,3.0,False,['no_gate_for_type_jimok'],exclude,B_skip
27,대구광역시,27170,서구,대,metro_gu,149,5.0,68.2,147.8,254.0,3.7243,13,4,2,0,0,9,11.0,False,"['n<150', 'metro_width']",ok,B_ok
27,대구광역시,27170,서구,전,metro_gu,17,71.2,173.0,495.0,1299.4,7.511,6,4,3,0,0,4,4.0,False,['no_gate_for_type_jimok'],exclude,B_skip
27,대구광역시,27200,남구,대,metro_gu,292,5.0,64.5,135.25,247.66,3.8397,20,9,2,1,1,3,88.0,False,['metro_width'],good,B_skip
27,대구광역시,27200,남구,전,metro_gu,2,3.7,6.5,8.25,9.3,1.4308,0,0,0,0,0,1,2.0,False,['no_gate_for_type_jimok'],exclude,B_skip
27,대구광역시,27230,북구,답,metro_gu,113,18.8,330.0,704.0,1303.6,3.9503,59,44,14,0,0,20,3.0,False,['no_gate_for_type_jimok'],ok,B_skip
27,대구광역시,27230,북구,대,metro_gu,487,5.6,73.0,223.7,349.76,4.7912,75,26,13,3,1,30,9.0,True,[],better,B_ok
