building_key,pnu,elevator,ride,emgen,n_dongs,mixed,floors_above,reason
0a1abf540cc36b56db80aa0a21eb627e6c77b66b9634e907c2542a1639e8408d,4167010900102510000,1,3,0,3,False,4,
0a625915d75a3ad12138c1ecdb94c2ab98fc5b06aa5c49ab792fa4ea525f7a71,4128510200100080012,1,1,0,1,False,4,
0a7c0b90dcddbbe518c55b6403d49d672d4bd22c0423db8d0cb7bed4a49c5594,1150010600107450000,0,0,0,7,False,4,
0aa62a1e4aa3787b2177cdb1296545a7986648b700d33634bbc14c940094f43e,1156013200104560069,1,1,0,1,False,4,
0ace4ea7bac6f636ca25e6a666c81251f4079cfc6f76518b991e9d54210c7715,1121510200102390042,0,0,0,1,False,5,
0af33bd8239318be2316686fed1da13b2c062fdb969a03d6106dafc6e17047e1,1129013800102310291,0,0,0,1,False,4,
0afa08b89ae4c0d5890d492ff446a390804214734ce562cb85b4c9e4d37c4737,1224011800105310001,1,2,0,1,False,4,
0afee49f3ec708ce386c3b85984f546be56dac73acea6f459828e723a45d1b4b,2824510300101790008,0,0,0,1,False,4,
0b49e73984205e26c38e9c8d835565f7a63215fc1bb70759b7d33e48653de355,5011012600111780000,1,6,0,3,False,4,
0b564637f4f92e3cc3de9610259df8857f59c27c8dc3f67b65295e2a43bd44e6,1159010200102110378,1,5,0,5,False,5,
0bc27fd3965cb57e0871aa1815fc8aabb5eb8ef4e647a783f6589c27b8bff9c8,4111513800102200049,0,0,0,1,False,4,
0bc2a6d5e42427a9323c8e6eda34ae358d066a901d3c6e3b0d60baba273308d7,4146110500103260016,0,0,0,1,False,4,
0c1f7304324e4f875f06e8daff165a611f3a42f04396e3dee0499cebbea08928,4884033022103630000,1,2,0,2,False,4,
0cede93caef693b8073d7c013d7d58abb284a13043ea273ae2d150f70aa2ff46,4165010200101970001,0,0,0,2,False,4,
0d8b7769f7a64da499e9e9b230454c9358126a353e31ac5473503787b5c7cde3,1150010300104100132,1,1,0,1,False,4,
0d9323c6d07d4aa4e6166a9571c5e54613132e44c84b1db3e4a2ef513d181dd3,3114010600115360013,0,0,0,1,False,4,
0deb3c251870f24b501dc0d4d80410826fc538163e9a29ee17c99d46dffdeb34,4127110100105950014,1,1,0,1,False,5,
0e845131fb5aebf957a92a1d9fbdc019f5250431f92c5064926dbe2bdb94f579,4159026221110090006,,,,0,False,,no_housing
0e94e82d281a7c59cbe4a974c28d29cef58fe2b550faed70ebab0987cfe5b947,5011025924133330005,1,2,0,2,False,4,
0ec1dfa28f6b647bcad3d1f3a726e768da4b70a1ab9afebf7db6c0b64aab73cc,5214011300101280003,0,0,0,1,False,4,
0eeae687a5d14d8127484502af9720670bab03e05e35f694758ed4e344b61374,4127110300114050003,0,0,0,1,False,4,
0ef01461c45f4aedfeae890c06e8576505de0657a817c659f3e1fda744650fb4,4113510100100960000,0,0,0,10,False,4,
0f0388765ef08c8645df7f953a2f1d52e05dc50107d4f569b7494b0d651142d6,4423025331100770036,0,0,0,2,False,4,
0febbef2b8b7a425fcdc9677bd72753f454dbb49a44e3099cfdb9a570d060c94,4127310200108300002,0,0,0,5,False,4,
